company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Kommunal Landspensjonkasse (KLP),https://www.klp.no/en/financial-information/_/attachment/inline/8bf48c1b-6d54-4c28-8d28-7fc5da886b05:cd4fccb689c70ab04e5e4e3f9e2b03440d0b608c/AnnualReport_2024_KLPGroup-KLP_.pdf,Norway,Financials,Insurance,29,EY,2,"KLP has no projects of its own for the capture and storage of greenhouse gases, but chose in 2024 to
purchase carbon credits to compensate for KLP's remaining direct emissions from its own operations
(scope 1). The purchase of credits covers capture and storage equivalent to 3 tonnes of CO2e. The carbon
credits represent carbon sequestration for at least 1,000 years. All of the storage (100 per cent) is in the
North Sea, within the EEA area, through Northern Lights, which is part of the Langskip CCS project. The
purchased credits represent net CO2 removal. This means that the total volume is calculated by subtracting
CO2 emissions generated directly or indirectly from the production process or from the materials used to
store the CO2, e.g. related to logistics. 100 per cent of the credits will be certified by recognised third
parties: Puro.earth or equivalent. The carbon credits that compensate for KLP’s scope 1 emissions in 2024 are linked to the capture and
permanent storage of greenhouse gas emissions from burning biological waste, developed by the
Norwegian climate credit company Inherit. This means that the carbon credits will contribute to netnegative emissions with a very high degree of certainty. The capture and storage project is in development
and is expected to be completed in 2026. The credits will be cancelled when they are received in 2026 and
will offset KLP’s scope1 emissions for 2023 and 2024. The credits are covered according to what we do not
know from Article 6 of the Paris Agreement. The limited scope of carbon credits to compensate for
emissions from our own operations is a result of KLP working systematically to cut emissions from its own
operations over time. KLP buys guarantees of origin for our scope 2 emissions, which means there are no
residual greenhouse gas emissions to compensate for related to electricity consumption.
KLP has not produced a general overview of the scope of voluntary carbon credits related to carbon
capture and storage from our value chain (scope 1-15). Through KLP’s investment portfolio, we are
indirectly involved in the development of greenhouse gas capture and storage facilities.
KLP believes that the most effective way to scale solutions for the capture and storage of emissions is for
the individual players in the economy to take responsibility for compensating for direct emissions from their
operations. So KLP does not compensate for its scope 3 emissions through its own capture and storage
projects or the purchase of carbon credits. KLP’s purchase of carbon credits is not part of our emission
reduction targets, but comes in addition to our reduction target of 50 per cent for scope 1 emissions from
2022 to 2030.",1.1,100,0,Not yet certified,0,0,,
Kone,https://www.kone.com/en/Images/KONE_Sustainability%20Statement_2024_tcm17-134329.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,54,EY,4,"KONE compensates for direct and indirect CO2 emissions of service activities related to KONE Care DX service contracts.
KONE also offers its customers the option to compensate the embodied CO2 emissions until handover of selected KONE DX elevators. In addition, after active emission reduction at all manufacturing units, KONE compensates the remaining CO2 emissions to achieve carbon neutral manufacturing units globally.
KONE compensates for its emissions through a third-party partner via carbon credits. KONE has chosen projects from different continents and representing different climate benefits: reforestation in Colombia, solar power in Thailand, hydro power in China and Laos, clean cookstoves that avoid deforestation in Mali. All projects are conducted outside of the EU and are Gold Standard® certified. In addition to having a positive climate effect, the projects support other United Nations Sustainable Development Goals (UNSDG) providing social and environmental benefits to local communities.
A total of 28 CO2 equivalent outside of KONE's value
chain was cancelled in the reporting period covering emissions in 2024 and 2025. KONE does not consider compensation in its science-based GHG emission reduction targets. Compensation is used only as a last measure to support KONE's customers to reach carbon neutrality.","28,000",Not specified,Not specified,Gold Standard,0,0,,
Konecranes,https://investors.konecranes.com/sites/konecranes/files/Annual_report_2024/governance_and_financial_review_2024.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,85,EY,3,,0,,,,,,,
Kongsberg Automotive,https://www.kongsbergautomotive.com/globalassets/investor-relations/financial-reports/financial-reports-2024/kongsberg_automotive-annual_report_2024.pdf,Norway,Transportation,Auto Parts,64,Deloitte,3,,0,,,,,,,
Kongsberg Gruppen,https://www.kongsberg.com/globalassets/kongsberg-asa/5.-investor-relations/1.3.-reports-and-presentations/1.3.1.-annual-report/annual-report-2024/annual-report-2024-eng.pdf,Norway,Resource Transformation,Aerospace & Defence,68,EY,3,,0,,,,,,,
Koninklijke Vopak,https://www.vopak.com/system/files/Vopak%20Annual%20Report%202024.pdf,Netherlands,Extractives & Mineral Processing,Oil & Gas – Midstream,131,Deloitte,3,,0,,,,,,,
Koskisen,https://storage.mfn.se/fa730a1d-5371-4ab3-a65a-61e3c7c59d29/koskisen-annual-report-2024.pdf,Finland,Renewable Resources & Alternative Energy,Forestry Management,82,PwC,3,,0,,,,,,,
KPN,https://www.jaarverslag2024.kpn/downloads/KPN-integrated-annual-report-2024_2025-02-21-143127_spyv.pdf,Netherlands,Technology & Communications,Telecommunication Services,117,EY,3,,0,,,,,,,
KRKA tovarna zdravil d.d. Novo Mesto,https://www.krka.biz/_assets/Annual-Report-2024.pdf,Slovenia,Health Care,Biotechnology & Pharmaceuticals,115,KPMG,3,,0,,,,,,,
KRUK SA,https://en.kruk.eu/media/article/file/cgkruk2024dro-27-03-2025-v4.pdf,Poland,Services,Professional & Commercial Services,199,PwC,3,,0,,,,,,,
L’Oréal,https://www.loreal-finance.com/system/files/2025-03/2024_Universal_Registration_Document_LOREAL.pdf,France,Consumer Goods,Household & Personal Products,98,Deloitte & EY,3,,0,,,,,,,
La Francaise des Jeux,https://www.fdjunited.com/wp-content/themes/yagami-adveris/assets/pdf/FDJ_URD_2024_EN.pdf,France,Services,Casinos & Gaming,117,Deloitte & PwC,3,,0,,,,,,,
Lagardere,https://www.lagardere.com/wp-content/uploads/2025/03/urd_lagardere-2024_vang.pdf,France,Services,Media & Entertainment,146,Forvis Mazars & Deloitte,3,,0,,,,,,,
LAMDA Development,https://www.lamdadev.com/sites/default/files/2025-03/lamda-development_2024t4_en.pdf?_gl=1*q24s7r*_up*MQ..*_gs*MQ..*_ga*MjAyODczOTQ3NC4xNzQzNDAzOTQx*_ga_Q85XM876DJ*MTc0MzQwMzk0MS4xLjEuMTc0MzQwNDM0Ni4wLjAuMA..&gclid=EAIaIQobChMItbzYzO3xiAMVEWdBAh1arwpPEAAYASAAEgId3_D_BwE,Greece,Infrastructure,Real Estate,135,EY,3,,0,,,,,,,
Lamor Corp,https://storage.mfn.se/9c3c6a6b-5569-419d-b777-5290d8d5ba80/lamor-annual-report-2024-en.pdf,Finland,Infrastructure,Engineering & Construction Services,63,EY,3,,0,,,,,,,
Lanxess,https://lanxess.com/-/media/project/lanxess/corporate-internet/investors/reporting/2024/lxs_ar-2024_en_web.pdf,Germany,Resource Transformation,Chemicals,138,KPMG,3,,0,,,,,,,
Lectra,https://www.lectra.com/sites/default/files/investors_files/LECTRA_-_Rapport_financier_annuel_2024_EN%20%285%29.pdf,France,Technology & Communications,Software & IT Services,84,PwC,3,,0,,,,,,,
LEG Immobilien,https://ir.leg-se.com/media/document/85aa3186-34b5-44f6-ab96-5b06943ccabc/assets/LEG_GB_2024_e.pdf,Germany,Infrastructure,Real Estate,71,Deloitte,3,,0,,,,,,,
Legrand,https://www.legrandgroup.com/sites/default/files/Documents_PDF_Legrand/Finance/2025/autre/Legrand_URD_2024_ENGLISH_1744198492.pdf,France,Resource Transformation,Electrical & Electronic Equipment,159,PwC & Forvis Mazars,1,"Since 2022, Legrand has invested the amount of its Scope 1 and 2 emissions as well as categories 6 ""Business travel"" and 7
""Employee commuting"" of Scope 3 in beyond value chain mitigation projects. These carbon credits are not regarded as a reduction in GHG emissions for Legrand but help communities and organizations that would not be able to reduce their emissions without additional financing. They are not taken into account in achieving Legrand's reduction targets.
In 2024, GHG emissions amounted to 141,104 tCOze and this was invested in projects relating to electrification and the energy transition in the countries in which the Group operates. The amount canceled in February 2025 for 2024 corresponds to the following projects:
• The Metro Delhi, India project, representing 41,104 tCOze.
This project concerns the creation and commissioning of the new Mass Rapid Transit System (MRTS) in New Delhi, India.
It is certified by Rina in accordance with the UNFCCC's Clean Development Mechanism (CDM).
• The Guanaste Wind Farm project, representing 100,000 tCOe. This project involves the development and operation of a wind farm in Costa Rica, in the province of Guanaste. It has been certified by DNV (Det Norske Veritas) in accordance with the criteria of the UNFCCC's Clean Development Mechanism (CDM). In 2024, Legrand did not invest in GHG removal and storage projects or develop any projects of this kind in its value chain. 100% of the projects it invested in concern reducing GHG emissions in accordance with the UNFCCC's Clean Development Mechanism (CDM). None of these projects are within the European Union.
Legrand plans to cancel 544,924 COge in the future. This should apply to the same categories of emissions up to 2027 at least. With its Net Zero ambition, Legrand has made a commitment to remove all residual emissions in 2050 and go further than using reduced and avoided emissions credits. To do this, it is in the process of drawing up a carbon removal strategy, which will be available in the next few years.","141,104",0,100,CDM,0,0,,
Lenzing,https://reports.lenzing.com/geschaefts-und-nachhaltigkeitsbericht/2024/_assets/downloads/entire-lenzing-gb24.pdf?h=IrQy2_XM,Austria,Resource Transformation,Chemicals,201,KPMG,3,,0,,,,,,,
Leonardo,https://www.leonardo.com/documents/15646808/28608810/2024+Integrated+Annual+Report.pdf?t=1741973243807,Italy,Resource Transformation,Aerospace & Defence,112,EY,3,,0,,,,,,,
Leroy Seafood Group,https://www.leroyseafood.com/globalassets/02--documents/english/annual-reports/lsg-annual-report-2024.pdf,Norway,Food & Beverage,Food Retailers & Distributors,74,PwC,3,,0,,,,,,,
LHV Group,https://www.lhv.ee/assets/files/investor/LHV_Group_Annual_Report_2024-EN.pdf,Estonia,Financials,Asset Management & Custody Activities,83,PwC,3,,0,,,,,,,
Lindab International,https://www.lindabgroup.com/api/cision/GetReleasePdf?releaseId=3D9354BAC8559E67&name=Lindab%27s%20Annual%20Report%20and%20Sustainability%20Report%202024,Sweden,Resource Transformation,Electrical & Electronic Equipment,85,Deloitte,3,,0,,,,,,"Lindab does not currently use carbon credits and has no
carbon capture activities. Lindab's main focus is on reducing
direct emissions. Lindab is considering using carbon removal
technologies, such as carbon capture and storage, to neutralise
the unavoidable portion of the emissions in the value chain and
reach its target of net zero by 2050. When such technologies are
used, they must meet high standards to ensure credibility and
effectiveness.",
